date,miles,average
9/1/19,0,2
9/2/19,0,2
9/3/19,0,5
9/4/19,5,0
9/5/19,0,0
9/6/19,3,0
9/7/19,0,3
9/8/19,0,2
9/9/19,2,2
9/10/19,0,2
9/11/19,0,2
9/12/19,0,1
9/13/19,0,2
9/14/19,0,3
9/15/19,0,4
9/16/19,5,0
9/17/19,0,2
9/18/19,0,2
9/19/19,0,0
9/20/19,0,0
9/21/19,11,2
9/22/19,0,3
9/23/19,3,2
9/24/19,0,4
9/25/19,0,3
9/26/19,0,3
9/27/19,5,2
9/28/19,0,2
9/29/19,0,2
9/30/19,0,2
10/1/19,0,2
10/2/19,4,1
10/3/19,0,2
10/4/19,0,1
10/5/19,0,2
10/6/19,2,3
10/7/19,2,0
10/8/19,3,0
10/9/19,5,0
10/10/19,0,2
